asset_id,id1,latitude,longitude
SF00538,502,-37.88433,144.62094
SF00539,503,-37.88433,144.62082
SF00540,504,-37.88422,144.62081
SF00541,505,-37.88408,144.6208
SF00542,506,-37.88397,144.62078
SF00543,507,-37.88391,144.62088
SF00544,508,-37.88399,144.62088
SF00545,509,-37.88412,144.62089
SF00546,510,-37.88421,144.62102
SF00547,511,-37.88414,144.62115
SF00548,512,-37.88408,144.62125
SF00549,513,-37.88403,144.62135
SF00550,514,-37.88428,144.62107
SF00551,515,-37.88421,144.6212
SF00552,516,-37.88364,144.62194
SF00553,517,-37.88355,144.62213
SF00554,518,-37.8834,144.62213
SF00555,519,-37.88336,144.62209
SF00556,520,-37.88332,144.62205
SF00557,521,-37.88366,144.6224
SF00558,522,-37.88352,144.62238
SF00559,523,-37.88317,144.62206
SF00560,524,-37.88317,144.62196
SF00561,525,-37.88306,144.62191
SF00562,526,-37.88306,144.62202
SF00563,527,-37.88279,144.62165
SF00564,528,-37.88301,144.62174
SF00565,529,-37.88313,144.62154
SF00566,530,-37.88315,144.62136
SF00567,531,-37.88302,144.62157
SF00568,532,-37.8835,144.62093
SF00569,533,-37.88344,144.62103
SF00570,534,-37.88327,144.62131
SF00571,535,-37.88336,144.62115
SF00572,536,-37.88317,144.62111
SF00573,537,-37.88303,144.62098
SF00574,538,-37.88308,144.62115
SF00575,539,-37.88298,144.62106
SF00576,540,-37.88278,144.62085
SF00577,541,-37.88286,144.62094
SF00578,542,-37.88281,144.62077
SF00579,543,-37.88224,144.62133
SF00580,544,-37.88235,144.6214
SF00581,545,-37.88247,144.62138
SF00582,546,-37.88241,144.62121
SF00583,547,-37.88253,144.621
SF00584,548,-37.88261,144.62087
SF00585,549,-37.88237,144.62111
SF00586,550,-37.88242,144.62103
SF00587,551,-37.88254,144.62083
SF00588,552,-37.88265,144.6207
SF00589,553,-37.88271,144.62055
SF00590,554,-37.88289,144.6204
SF00591,555,-37.88296,144.6203
SF00592,556,-37.88303,144.62019
SF00593,557,-37.88295,144.61961
SF00594,558,-37.88297,144.61945
SF00595,559,-37.88285,144.61937
SF00596,560,-37.88279,144.61922
SF00597,561,-37.88281,144.61907
SF00598,562,-37.88307,144.61908
SF00599,563,-37.88344,144.61879
SF00600,564,-37.88353,144.61875
SF00601,565,-37.88385,144.61978
SF00602,566,-37.88388,144.6198
SF00603,567,-37.884,144.61992
SF00604,568,-37.88402,144.6198
SF00605,569,-37.8841,144.61986
SF00606,570,-37.88384,144.61964
SF00607,571,-37.88388,144.61967
SF00608,572,-37.88391,144.6197
SF00609,573,-37.88365,144.6197
SF00611,574,-37.8844,144.62002
SF00612,575,-37.88455,144.62001
SF00613,576,-37.88474,144.62002
SF00614,577,-37.88474,144.62005
SF00615,578,-37.88472,144.62004
SF00616,579,-37.88461,144.61991
SF00617,580,-37.88458,144.61985
SF00618,581,-37.88458,144.61981
SF00619,582,-37.88462,144.61971
SF00620,583,-37.88454,144.61964
SF00621,584,-37.8846,144.61949
SF00622,585,-37.88464,144.61941
SF00623,586,-37.88486,144.61993
SF00624,587,-37.88497,144.61993
SF00625,588,-37.8849,144.62001
SF00626,589,-37.88493,144.62003
SF00627,590,-37.88554,144.62055
SF00628,591,-37.88548,144.62047
SF00629,592,-37.88543,144.62037
SF00630,593,-37.8854,144.62026
SF00631,594,-37.8854,144.62015
SF00632,595,-37.88541,144.62004
SF00633,596,-37.88544,144.61993
SF00634,597,-37.88548,144.61983
SF00635,598,-37.88554,144.61973
SF00636,599,-37.88561,144.61968
SF00637,600,-37.88568,144.61962
SF00638,601,-37.88531,144.61988
SF00639,602,-37.88527,144.62002
SF00640,603,-37.88526,144.62021
SF00641,604,-37.88544,144.61963
SF00642,605,-37.88579,144.61956
SF00643,606,-37.88588,144.61952
SF00644,607,-37.88597,144.61948
SF00645,608,-37.8855,144.61958
SF00646,609,-37.88552,144.61954
SF00647,610,-37.88554,144.61953
SF00648,611,-37.88581,144.61938
SF00649,612,-37.88587,144.61935
SF00650,613,-37.88591,144.61933
SF00651,614,-37.88592,144.61929
SF00652,615,-37.88592,144.61918
SF00653,616,-37.88588,144.61907
SF00654,617,-37.88641,144.61931
SF00655,618,-37.88633,144.61933
SF00656,619,-37.88624,144.61936
SF00657,620,-37.88616,144.61939
SF00658,621,-37.88604,144.61921
SF00659,622,-37.886,144.61904
SF00660,623,-37.88591,144.6188
SF00661,624,-37.88581,144.61862
SF00662,625,-37.88574,144.61852
SF00663,626,-37.88562,144.61842
SF00664,627,-37.88582,144.6189
SF00665,628,-37.88549,144.61838
SF00666,629,-37.88535,144.61833
SF00667,630,-37.8853,144.61863
SF00668,631,-37.88519,144.61888
SF00669,632,-37.88548,144.61855
SF00670,633,-37.88544,144.61858
SF00671,634,-37.88504,144.61889
SF00672,635,-37.8851,144.61896
SF00673,636,-37.88496,144.61899
SF00674,637,-37.885,144.61908
SF00675,638,-37.88487,144.61907
SF00676,639,-37.88426,144.61854
SF00677,640,-37.88421,144.61874
SF00678,641,-37.88424,144.61877
SF00679,642,-37.88431,144.61882
SF00680,643,-37.88408,144.61886
SF00681,644,-37.88401,144.61901
SF00682,645,-37.88462,144.61909
SF00683,646,-37.88478,144.61933
SF00684,647,-37.88509,144.6182
SF00685,648,-37.88496,144.61811
SF00686,649,-37.88505,144.61834
SF00687,650,-37.88471,144.61792
SF00688,651,-37.88458,144.61784
SF00689,652,-37.88376,144.62066
SF00690,653,-37.88369,144.62059
SF00691,654,-37.88361,144.62053
SF00692,655,-37.88352,144.62045
SF00693,656,-37.88374,144.62076
SF00694,657,-37.88381,144.62082
SF00695,658,-37.8832,144.62021
SF00696,659,-37.88336,144.62016
SF00697,660,-37.88343,144.62001
SF00698,661,-37.8835,144.62004
SF00699,662,-37.88341,144.62021
SF00700,663,-37.88342,144.62037
SF00701,664,-37.88344,144.6205
SF00702,665,-37.88334,144.62042
SF00703,666,-37.88351,144.62056
SF00704,667,-37.88533,144.62223
SF00705,668,-37.88543,144.62205
SF00706,669,-37.8855,144.62194
SF00707,670,-37.88556,144.62183
SF00708,671,-37.88561,144.62175
SF00709,672,-37.88567,144.62164
SF00710,673,-37.8854,144.62226
SF00711,674,-37.8855,144.62209
SF00712,675,-37.88556,144.62198
SF00713,676,-37.88563,144.62187
SF00714,677,-37.88573,144.62168
SF00715,678,-37.8858,144.62161
SF00716,679,-37.88582,144.62164
SF00717,680,-37.88575,144.62142
SF00718,681,-37.8858,144.62144
SF00719,682,-37.88582,144.62141
SF00720,683,-37.88584,144.62146
SF00721,684,-37.88585,144.62142
SF00722,685,-37.88817,144.62155
SF00723,686,-37.8881,144.62126
SF00724,687,-37.88806,144.62106
SF00725,688,-37.88803,144.62097
SF00726,689,-37.88789,144.62066
SF00727,690,-37.88746,144.61987
SF00728,691,-37.88748,144.6199
SF00729,692,-37.8875,144.61998
SF00730,693,-37.88755,144.62005
SF00731,694,-37.88763,144.62018
SF00732,695,-37.88764,144.6202
SF00733,696,-37.88772,144.62036
SF00734,697,-37.88774,144.6204
SF00735,698,-37.88777,144.62045
SF00736,699,-37.88431,144.61737
SF00737,700,-37.88462,144.61679
SF00738,701,-37.88451,144.61693
SF00739,702,-37.88408,144.61769
SF00740,703,-37.88393,144.61769
SF00741,704,-37.8842,144.61784
SF00742,705,-37.88407,144.61783
SF00743,706,-37.8835,144.61775
SF00744,707,-37.88349,144.61789
SF00745,708,-37.88328,144.61765
SF00746,709,-37.88336,144.61733
SF00747,710,-37.88337,144.61718
SF00748,711,-37.88342,144.61701
SF00749,712,-37.8833,144.61716
SF00750,713,-37.88334,144.61699
SF00751,714,-37.88349,144.61682
SF00752,715,-37.88381,144.61641
SF00753,716,-37.88345,144.6167
SF00754,717,-37.88355,144.61657
SF00755,718,-37.88367,144.61642
SF00756,719,-37.88383,144.61625
SF00757,720,-37.88397,144.6161
SF00758,721,-37.88396,144.61625
SF00759,722,-37.88407,144.61612
SF00760,723,-37.88414,144.61609
SF00761,724,-37.88416,144.61608
SF00762,725,-37.88461,144.61606
SF00763,726,-37.88457,144.61621
SF00764,727,-37.88316,144.61669
SF00765,728,-37.88299,144.61676
SF00766,729,-37.88282,144.61683
SF00767,730,-37.88314,144.61679
SF00768,731,-37.88294,144.61689
SF00769,732,-37.88277,144.61697
SF00770,733,-37.88262,144.61704
SF00771,734,-37.8825,144.61709
SF00772,735,-37.88235,144.61721
SF00773,736,-37.88226,144.61718
SF00774,737,-37.88231,144.61704
SF00775,738,-37.88247,144.617
SF00776,739,-37.88264,144.61692
SF00777,740,-37.88319,144.61782
SF00778,741,-37.88304,144.61789
SF00779,742,-37.8829,144.61798
SF00780,743,-37.88275,144.61808
SF00781,744,-37.88291,144.61815
SF00782,745,-37.88282,144.61822
SF00783,746,-37.88278,144.61822
SF00784,747,-37.88245,144.61809
SF00785,748,-37.88243,144.61802
SF00786,749,-37.8824,144.61792
SF00787,750,-37.88235,144.61807
SF00788,751,-37.88261,144.61861
SF00789,752,-37.88266,144.61874
SF00790,753,-37.88253,144.61861
SF00791,754,-37.88259,144.61875
SF00792,755,-37.88264,144.61885
SF00793,756,-37.88269,144.61899
SF00794,757,-37.88274,144.6191
SF00795,758,-37.88223,144.61844
SF00796,759,-37.88219,144.61848
SF00797,760,-37.88213,144.61853
